FAPAR_anom,FAPAR_mean,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_augsep,NDVI_junjul,NDVI_mean,NDVI_oct,NDVI_peak,SAR_CR_mean_dB,SAR_VH_augsep_dB,SAR_VH_junjul_dB,SAR_VH_mean_dB,SAR_VH_oct_dB,SMAP_sm_anom,SMAP_sm_mean,SM_anom,SM_augsep,SM_junjul,SM_mean,SM_oct,VHI_mean,cumRain_mm,drySpellDays,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,rain_augsep_mm,rain_junjul_mm,rain_oct_mm,sm_wet_days,tmax_anom_C,tmax_mean_C,district,taluka,revenue_circle,lat,lon,year
-0.0362008793975636,0.31545227027175404,-2.3223737803316773,32.67480019324852,-0.09665349914927651,0.48938525440467756,0.24172592261199316,0.427888038634747,0.698222156909219,0.753982083432092,,,,,,,,0.04375699991825774,,,0.4448643054226589,,0.6043093053389696,1212.3026747634885,72.25596169345282,21.658844166311106,-0.2764006841177398,0.18143459915611818,195.37217596101374,-0.35077969438808954,2.522244607726949,104.01278802679732,331.42206312709436,745.6181403774061,104.01278802679732,126.4495330204333,-1.9887970324542277,28.915005729364502,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2013
0.021070777200908834,0.3727239268702263,-1.313617139894622,33.68355683368561,0.013856407490000723,0.6908225709093776,0.3467908440981272,0.538397945274024,0.6416636904479731,0.7594812977008758,,,,,,,,-0.022767959206295242,,,0.3783393462981061,,0.6483425359933117,937.7349366816304,95.89342435879203,21.355046697956674,-0.120027161046431,0.9892381358744609,59.45350077904709,-1.5087152654306157,1.8250533301730247,22.224960909286292,466.07287132786917,449.43710444447515,22.224960909286292,80.54833357037882,0.24476746584707004,31.14857022766584,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2011
0.0408885765706174,0.39254172623993505,0.6752722592406173,35.67244623282082,0.08576904147383044,0.7344418385083354,0.4838173346764631,0.6103105792578539,0.6470921106897358,0.7842823880066353,-7.635466024999026,-14.35139267033071,-16.30525871673847,-15.238101324331986,-14.83209166292029,-0.010409846933683891,0.312761429327625,0.013522433048901368,0.3291904256415391,0.3116126454713498,0.4146297385533027,0.28983473033030854,0.6540679595006292,983.665634332954,85.76570426207749,27.94927227042147,-0.23065017333546137,1.0118522732660125,186.48217438105206,1.6071288534713892,0.7827684285375681,57.67735851183447,444.9522868787979,481.03598894232204,57.67735851183447,93.65410325700472,0.17971087203909528,31.083513633857788,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2017
0.0010238389758610558,0.3424010178014887,0.9501756129799341,36.62213580562731,-0.016544028356527216,0.701784967604767,0.27979977317414084,0.4937073417351687,0.517027112500888,0.7645324461658733,,,,,,,,-0.009551022348672226,,,0.3988323897391297,,0.5721418707712621,701.8725839867523,99.10571455648223,25.370924943138746,-0.08073033903549054,0.0,77.3054148457193,0.11769447729625913,2.4419254731954627,24.80513486591499,271.4240185512207,405.64343056961667,24.80513486591499,83.54932714177407,0.4341258730499324,31.347832504313335,Yavatmal,Arni,Arni,20.0538582,77.9942367,2004
-0.013274041609023122,0.33837910806029453,2.6959668426983203,37.69314081627852,-0.03105549540958055,0.6412965169471451,0.32468503703484225,0.4934860423744422,0.5578986098601559,0.8062774152642812,,,,,,,,-0.02923774215554547,,,0.3718695633488549,,0.5455237481012879,794.2485856147738,103.91120276869106,25.27160669416394,0.3278253347616454,0.5364812971127864,0.0052489655650719445,2.3739991579957973,2.254384925337757,49.022952483139264,338.5337934039686,406.6918397276658,49.022952483139264,71.45304129332006,0.9726844944216254,31.87648725624032,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2009
0.03298186470194798,0.3743590435275754,-0.3251663139573782,35.34679387868999,0.031479377676895896,0.6994741177678294,0.36330122651789803,0.5417307477685925,0.6104935754388456,0.7954880901618,,,,,,,,-0.0011067840501050661,,,0.40727662803769693,,0.629559155343827,1107.6263624629494,78.48090409401063,18.81453752843063,0.020541033592518555,1.0,88.59170618431872,-0.8700057375129399,1.979686352545425,14.448678033907953,484.69058262924506,591.8341870282162,14.448678033907953,100.0,0.32673988689105066,31.240446518154506,Yavatmal,Arni,Arni,20.0538582,77.9942367,2007
-0.01378195518474169,0.337871194484576,-0.2150364108289693,34.78213756275124,-0.019516265734302016,0.7009841459271549,0.2597559463142919,0.5050252720497221,0.7079076949514103,0.7455414031761085,,,,,,,,-0.005205447502450216,,,0.3959018580019509,,0.6078920025377288,1306.9058604744541,87.10695491395253,20.235006874318493,0.4501861602332342,0.6145640733892762,26.588406221809993,0.5928603599743372,2.72948566010903,79.31482500460966,488.14922237663,694.3157222142224,79.31482500460966,93.1027829137629,0.3940436852754961,31.297846447094198,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2005
-0.005723856588799408,0.3459292930805183,-1.639310300684853,33.357863672895355,-0.007989055231549943,0.6037043434463141,0.37760017450817746,0.5165524825524735,0.7237542711543012,0.765195673145295,-7.143138177446746,-14.777827455420432,-15.80831703168481,-14.662874171481342,-14.274950327531267,0.008832488979570095,0.33200376524087893,0.005803922995195134,0.342616744480403,0.32326432471960764,0.406911228499596,0.3241989198641718,0.6430324315579933,1102.7967213897234,78.85507040250323,23.15844118902006,0.08054804605159781,0.9871521357796426,99.2093417067246,-0.6441790843910934,1.9178241289405071,54.20325689584134,357.3501702555608,660.6855309691024,54.20325689584134,98.90157872279904,-0.3578247416317924,30.54597802018694,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2016
-0.01778601490023724,0.3338671347690803,-0.06018516777007453,34.93698880581013,-0.02122173069440316,0.6570957756577384,0.3124634658686888,0.5033198070896209,0.6516412977008766,0.7585934925337762,,,,,,,,-0.0042177796816963015,,,0.39688952582270437,,0.6011420057755991,846.0429194090758,90.49665765893901,15.06414450291566,-0.23869698298168918,0.00037927274451239753,59.81206085859038,-0.3189041906664762,2.3848068262621465,21.34052848987727,490.66036785374,312.89667169962877,21.34052848987727,89.55231593419622,-0.02678711815510033,30.87701564366362,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2008
-0.007899426922268462,0.33347775190335904,3.0950228178978345,38.76698301054523,-0.04200378785662859,0.6032149061505543,0.3074944575723121,0.46824758223506724,0.5390010293037691,0.7689105429606999,,,,,,,,-0.02825217351703778,,,0.38013123857076525,,0.5145291330091045,769.275586352385,104.76502084912815,25.321408263836247,0.34392926420525693,0.0,0.0,2.035257040475434,2.1939805273257056,42.919753738657114,327.651466269659,398.7043663440691,42.919753738657114,73.74663570887036,0.9891546038736949,31.902861235137152,Yavatmal,Arni,Arni,20.0538582,77.9942367,2009
-0.014605009774220525,0.32677216905140694,-0.4102974325597345,35.261662760087624,0.028445505541666343,0.6471679920877468,0.3969233328595466,0.5386968756333625,0.6525394830976248,0.7402915227536534,,,,,,,,0.01235340596529204,,,0.4207368180530942,,0.6278000419563978,1317.8969849074956,77.76539992418499,9.0,0.1685359735435997,1.0,20.580466643710135,-0.7069619385490765,1.7192689455854842,57.131469606940875,673.5433017165375,548.482335193262,57.131469606940875,111.09865428354814,0.409403427129787,31.323110058393215,Yavatmal,Arni,Arni,20.0538582,77.9942367,2010
-0.024175254638789688,0.3172019241868378,0.5023350905485279,36.17429528319591,-0.052311959904733904,0.6059965783644846,0.26533282045815293,0.4579394101869623,0.6361370963921068,0.7496714874564707,,,,,,,,-0.003025751023343501,,,0.4053576610644582,,0.56324303479834,1122.3429787605662,89.30302312357848,21.734789613343445,0.06212426402984468,1.4695792266868841,59.7294053926081,-1.6587205940962106,2.6344017245872133,43.535629201604166,421.5596149849388,636.5634894273198,43.535629201604166,98.45067285822596,0.10494503546858079,31.018651666732012,Yavatmal,Arni,Arni,20.0538582,77.9942367,2012
0.003583637322686445,0.34496081614831403,-0.7376041856478559,34.93435600699952,0.01743427400951588,0.653590677832263,0.35952390199701567,0.5276856441012127,0.6261631701134721,0.7572456044346543,,,,,,,,-0.019758951418701,,,0.38862446066910206,,0.627799129446685,924.9382067265118,95.59178354814256,21.22791887793783,-0.13823488730413108,0.18546247156937073,56.595540141871794,-0.7671923530044729,1.8080567597659496,18.132934649981173,455.7184393717043,451.08683270482624,18.132934649981173,81.0,0.19751551836587183,31.111222149629306,Yavatmal,Arni,Arni,20.0538582,77.9942367,2011
0.03145910757741191,0.38311225724672954,0.33761033762214526,35.33478431120234,0.018731075789492447,0.6665634182665714,0.3744848835624555,0.5432726135735162,0.6581584676463621,0.8008789784309083,,,,,,,,0.0032427951329551375,,,0.4043501006373564,,0.6209816472043261,1116.977738838687,76.58545489024796,19.132413596927893,0.00982154447325521,1.0,86.7036490762058,-0.6185025566330704,1.9820929130125617,16.479022112610682,486.43734300936296,596.0330194357206,16.479022112610682,100.00137486369887,0.27850715891401406,31.182309920732727,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2007
