taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,tmax_K_mean,tmax_anom_K,claim_ratio,farmers_total,claim_farmers,sum_insured
Arni,Anjankhed,19.9550563,77.9935741,2021,ok,0.1637015934865482,34.39151914349082,-0.0605406222380237,0.5694593476600565,0.7940028656079638,0.0037712172694517,0.4172152998322291,-912.7490911714656,0.6418537722305746,1189.520656201599,82.89868676812213,303.2842672777005,-0.5217221350815736,0.05438401775804662,1802.0,98.0,101470552.6
Arni,Anjankhed,19.9550563,77.9935741,2022,ok,-0.2091307649502767,34.01868678505399,-0.1060498473045218,0.5239501225935581,0.7868968298174926,0.0169678948030745,0.4304119773658518,-882.4051756333566,0.615762655055444,1533.9468522457248,70.65125871142088,303.52516283552995,-0.2808265772523015,,,,
Arni,Anjankhed,19.9550563,77.9935741,2023,ok,-0.4393842081468289,33.788433341857434,-0.0977539383213503,0.5322460315767295,0.7637883669115906,-0.0342118614183381,0.3792322211444394,-926.9015248201245,0.6278049401380944,1028.7603472245346,101.88470108566824,304.57934592758056,0.7733565147983379,0.06442705936493327,4346.0,280.0,339046752.54
Arni,Anjankhed,19.9550563,77.9935741,2024,ok,-0.4943636527133878,33.73345389729086,-0.0865330432961996,0.5434669266018805,0.8020798957098831,0.0154566302276977,0.4289007127904752,-915.7577144503988,0.6357173538984476,1155.444255401192,72.7886028540274,303.6876713239699,-0.1183180888120002,0.04556835252879319,3994.0,182.0,314720939.25
Arni,Anjankhed,19.9550563,77.9935741,2025,ok,-4.278223152855992,29.949594397148275,-0.0580740714492639,0.5719258984488159,0.7842441526428054,0.0118220657450619,0.4252661483078396,-903.316448655098,0.7389212734076661,1296.9308695738198,77.55677238894422,303.00986399919964,-0.7961254135828771,0.0,2447.0,0.0,224960927.68
Arni,Arni,20.0538582,77.9942367,2021,ok,0.1246750715108584,35.35153848401571,-0.053289448715114,0.5562855602671116,0.7858775685215452,0.0034211787690657,0.4235021474882817,-921.2729345247824,0.6202998593189114,1190.7784126854654,83.88243934799091,303.3294780783462,-0.4990214969826718,0.043668122270742356,1603.0,70.0,98438136.11
Arni,Arni,20.0538582,77.9942367,2022,ok,0.196072695296916,35.42293610780175,-0.0957836883779878,0.5137913206042375,0.7777589830147117,0.0140216391493257,0.4341026078685424,-890.0819791270882,0.589957415251553,1544.9490715870584,71.0495166793025,303.57613647942117,-0.2523630959074392,,,,
Arni,Arni,20.0538582,77.9942367,2023,ok,-1.1668248042846263,34.060038608220225,-0.0883728395610093,0.521202169421216,0.7998299540425942,-0.0325691944511197,0.3875117742680972,-933.9829720255289,0.6256520400179608,1046.6339231548186,101.5615523123579,304.62194648689325,0.7934469115650518,0.04884742041712404,3644.0,178.0,275074035.2
Arni,Arni,20.0538582,77.9942367,2024,ok,-1.5739349407338663,33.65292847177096,-0.0673241131286571,0.5422508958535682,0.7760760772747731,0.0122120486881724,0.4322930174073892,-923.2953125601152,0.6504579778884736,1167.9076115987168,74.64798142532221,303.7139908881078,-0.1145086872204681,0.03559269575982668,3231.0,115.0,250781916.17
Arni,Arni,20.0538582,77.9942367,2025,ok,-4.527497713382097,30.69936569912276,-0.0582315942363727,0.5513434147458526,0.7677834292753418,0.0101059091056119,0.4301868778248284,-911.4571094529584,0.7224151113501791,1302.4219762784603,79.77018574677787,303.03694292237583,-0.7915566529526434,0.0,1534.0,0.0,132117696.65
