LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,SAR_VV_mean_dB,SPI30_min,VHI_mean,cumRain_mm,drySpellDays,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_anom,sm_mean,sm_wet_days,tmax_anom_C,tmax_mean_C,district,taluka,revenue_circle,lat,lon,year
1.043510194469094,36.82370850733764,-0.09832872862041567,0.4632917424622588,-8.463265104383341,-918.7333072390096,0.4926684858334074,791.36171286116,97.09249153180279,25.031191193074893,-0.03354443933724156,1.0,223.7472314136703,1.175292574260753,0.0375621612721114,10.51271480947767,-0.020345461522287826,0.4001078584745816,81.83590515619122,-0.02990724613251384,303.60016046836927,Amravati,Anjangaon Surji,Anjangaon,21.1213725,77.3003036,2018
2.8975462664398197,38.67774457930835,-0.11408764740935895,0.4475328236733157,-7.970344986636677,-907.8760235957513,0.5176249574776912,892.8054533353364,90.2804384644336,34.47807677832142,0.5173679388542602,0.0,113.92502967561752,-2.4199383134215835,-0.05489809465562665,46.360652028325376,0.00469276112708192,0.4251460811239518,113.4922845314264,0.005198614658335604,303.6352663291603,Amravati,Anjangaon Surji,Anjangaon,21.1213725,77.3003036,2019
0.18785426201343386,35.96805257488198,0.0036270658219378525,0.5652475369046126,-7.592993752918872,-891.958562157751,0.5417114665873098,1040.2560936722682,66.11446179902144,18.417246894994356,-0.31577945516648687,0.38464433571697415,215.06220500930783,-0.09497160212865693,0.0239476147911178,74.32788318555328,0.022323482466154895,0.4427768024630249,115.49228453142645,0.005358137208112654,303.63542585170995,Amravati,Anjangaon Surji,Anjangaon,21.1213725,77.3003036,2020
0.4179850422700611,36.19818335513862,-0.04735775780955964,0.5142627132731151,-8.164743893708094,-903.6110157932452,0.5135918719115657,932.4045793852459,86.19138125705683,36.11182724877683,-0.3109230560314471,0.08298833270605947,224.4214886260698,1.4604615333355413,0.02121757856605195,65.14130068955942,0.0046200826057548605,0.42507340260262383,98.6718103123824,-0.28205596306061786,303.34801175144094,Amravati,Anjangaon Surji,Anjangaon,21.1213725,77.3003036,2021
0.10727518705084327,35.88747349991938,-0.09363271703675827,0.46798775404591664,-7.864016487360172,-873.3423089113655,0.4776146950535663,1212.9767936119067,74.74698908543469,23.935265336846076,0.09204767959242069,0.2778039141889349,186.3736712618076,0.9855404572114499,-0.010325517500940913,78.39233497842882,0.009302982535344798,0.4297563025322146,107.49228453142648,-0.1639970169946773,303.4660706975069,Amravati,Anjangaon Surji,Anjangaon,21.1213725,77.3003036,2022
0.32771731009632554,36.107915622964875,-0.09957408104378375,0.46204639003889086,-8.695928987026553,-906.5210641879831,0.4777233455572471,904.9911339734568,104.08218855852465,36.78349642453897,0.2553317385026601,0.6604252916823486,94.06212508534867,-0.1282210219003314,-0.04534106134738427,9.376568634145729,-0.032198443683805096,0.388254876313064,81.32818968761762,0.9075678913100208,304.53763560581194,Amravati,Anjangaon Surji,Anjangaon,21.1213725,77.3003036,2023
-0.6267248130509873,35.153473499817565,-0.09969782597332,0.46192264510935493,-7.9380029248698225,-906.3880729608426,0.4598768911274931,906.143258092273,74.05038577342869,24.415223936770794,-0.0006947648656714768,0.0,189.9234173437416,-1.8459198677164146,0.012565280391418895,56.47662980102635,0.010093379821352864,0.43054669981822197,107.0,-0.11340853490731101,303.51665917959446,Amravati,Anjangaon Surji,Anjangaon,21.1213725,77.3003036,2024
-3.927359472966722,31.85283883990182,-0.06325689583071974,0.49836357525195535,-7.516783565571456,-902.770037133373,0.4189557202858283,939.8192787446551,87.63342115167481,27.59851336093338,-0.15634080099232148,0.0,172.1053353393865,-2.3669351879064977,-0.07983848560406473,56.90989127260532,0.010565510258750325,0.43101883025561993,107.52314640572074,-0.79710252496996,302.83296518953136,Amravati,Anjangaon Surji,Anjangaon,21.1213725,77.3003036,2025
1.8062685614552176,36.44074578888634,-0.10708001395159268,0.5046132587158266,-8.164934342402017,-909.600819249178,0.5077015685503476,804.8424357358476,96.56560383747177,24.31489841986456,-0.04638815002938962,1.138402934537246,222.47717579815784,1.734695599778702,0.06759363007900679,10.678084636716758,-0.02454205359327936,0.3432265853374887,80.71265989465765,-0.05864539394100071,302.96402058438105,Amravati,Anjangaon Surji,Bhandaraj,21.173047,77.196071,2018
2.5861926946072016,37.22066992203832,-0.13202627105802195,0.4796670016093976,-7.812223644412638,-897.0399316993858,0.5088625636224401,927.0817768520427,90.0878009781791,34.778875094055685,0.4803273142681915,0.6499247554552295,102.88283112453772,-0.8546236135380322,-0.10243313581640336,45.88463627535253,0.00624237459935838,0.37401101353012656,110.57468021068473,0.03544394824426036,303.0581099265669,Amravati,Anjangaon Surji,Bhandaraj,21.173047,77.196071,2019
0.26737475139958605,34.9018519788307,0.02964037888763482,0.6413336515550536,-7.469650615699018,-879.8345233487815,0.5599284544985526,1093.5622181277563,64.46604589917233,18.26702407825433,-0.2604432390733377,1.0774548532731374,217.33325026790843,-0.3669024375927561,0.03781717221595186,79.32128772240485,0.02425962160856913,0.3920282605393366,117.4253197893153,0.021827842834964778,303.0444938211571,Amravati,Anjangaon Surji,Bhandaraj,21.173047,77.196071,2020
0.19591645717781694,34.830393684608936,-0.07438103550079429,0.5373122371666249,-7.774643612789711,-896.8995835468726,0.492815198422291,927.2506944352609,86.25343303235519,36.79745109104591,-0.2672500615018751,0.0,210.6443779628873,-1.6407785754596997,0.03531436230248308,64.73158266298346,-0.0019988957281963995,0.3657697432025717,95.43101015801355,-0.23439695164557503,302.78826902667686,Amravati,Anjangaon Surji,Bhandaraj,21.173047,77.196071,2021
-0.25480178304853557,34.37967544438258,-0.07271360750564335,0.5389796651617756,-7.873111185083048,-861.9384659206646,0.4836080841942888,1266.3589272711095,74.67870579382993,24.055680963130175,0.08665116899627374,0.6232129420617006,187.67046978399213,1.0716647495153437,0.017959723006019557,81.08418660405172,0.010213777950852869,0.37798241688162104,109.28164973664408,-0.10465800197936553,302.918007976343,Amravati,Anjangaon Surji,Bhandaraj,21.173047,77.196071,2022
