taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,tmax_K_mean,tmax_anom_K
Arni,Anjankhed,19.9550563,77.9935741,2018,ok,1.0016845022348535,35.22950205223912,-0.1331110085854993,0.4968889613125808,0.755545599668168,-0.0253421016766392,0.3881019808861372,-923.7061905056052,0.5700073484817605,1065.182982490027,91.51775470535252,22.019532546342397,-0.1141149461281104,2.193286872422131,151.49765262236178,1.93120493489434,1.6788694003318314,8.027747986954521,80.54620016119094,303.96841737472664,0.1624279619442176
Arni,Anjankhed,19.9550563,77.9935741,2019,ok,3.740960026404633,37.96877757640889,-0.0759363926944246,0.5540635772036554,0.791453402465038,6.526349329397911e-05,0.4135093460560713,-924.5209835888368,0.5485115943813106,1056.0131392036126,86.30896505949843,21.221779737353636,0.5884405977274179,1.4126013369364243,50.25001809838497,-0.516544539198653,1.7184877933159508,49.67943203109588,105.55070402503202,304.3827355940164,0.5767461812334622
Arni,Anjankhed,19.9550563,77.9935741,2020,ok,-0.6948179612934946,33.53299958871076,0.0309111605699086,0.6609111304679883,0.837034205972979,0.023238539885663,0.4366826224484397,-917.065805919515,0.7229608240128994,1140.5452327428743,68.57260702602763,18.902811359218703,-0.2579800762848063,0.0,159.0683268222149,-1.0726096481426866,0.4105475231097415,101.59412079336278,110.00512018205094,303.74647148087263,-0.0595179319096091
Arni,Arni,20.0538582,77.9942367,2018,ok,1.8184719454339409,37.04533535793878,-0.1474845479078325,0.4620904610743926,0.7135766280529702,-0.0220123335853756,0.398068635133841,-932.2835530270734,0.5162987723457884,1065.960938096668,91.53042077331314,23.079747915087193,-0.1289243525806147,3.0,155.64744136984646,2.8551101247370845,1.4880960841446955,6.960507845589391,84.29596285064441,303.9336182518497,0.1051186765209738
Arni,Arni,20.0538582,77.9942367,2019,ok,4.031932630960824,39.25879604346565,-0.1153147114698737,0.4942602975123519,0.7669274796863532,2.608624989990617e-05,0.4201070549691165,-935.6210674320766,0.4884979197680661,1028.120384386635,85.40821645185746,20.6361353297953,0.5933367043190313,1.450672858225929,50.02802750298443,-0.135072373619801,2.047260322649422,45.66345546937423,106.54932714177411,304.38865117824884,0.560151602920002
Arni,Arni,20.0538582,77.9942367,2020,ok,0.8926081398745551,36.1194715523794,0.0145726193155347,0.6241476282977602,0.8187309904531789,0.023488894202464,0.4435698629216807,-923.9078437307704,0.6502638194324126,1161.031291107876,65.45067285822594,18.734789613343445,-0.2705823085550622,0.0,155.40964097154787,0.2936235976963948,0.6902612939141974,98.50290695471595,114.94394427596669,303.7785157455157,-0.0499838298130763
Arni,Borgaon,20.5209133,78.0791852,2018,ok,1.2881498667636684,36.4238084835669,-0.1316645601422721,0.4794949502821433,0.7915579225165011,-0.0191362727774587,0.3682671921231314,-936.2216229935738,0.5393968630663072,1028.487456342998,93.30192244107504,19.43649331632894,-0.0876965633122105,1.918331680128478,155.47056150607577,2.958547566740759,2.0581067198809753,9.830868298767204,82.53384346511736,303.62022434642955,-0.029228610593709
Arni,Borgaon,20.5209133,78.0791852,2019,ok,2.900171222852616,38.03582983965585,-0.1280664841754338,0.4830930262489811,0.7946069300617544,0.0001574833338482,0.387560948234438,-932.9182056261398,0.506377136607212,1064.0418394755534,80.84828302867128,17.746540078409154,0.5903712448971931,0.0071323980917292,56.25364435140974,-1.3343252781886232,2.226806314869699,37.30976975025517,105.9183316801285,304.0819847680754,0.4325318110522816
Arni,Borgaon,20.5209133,78.0791852,2020,ok,-0.3443397646745954,34.791318852128626,0.0368316873042674,0.6479911977286827,0.8522610964824233,0.0239632099927807,0.411366674893371,-920.3492083138112,0.6800821589612406,1199.5670917564344,66.00415662935147,16.655377639223463,-0.3129539841922266,0.2076425298757734,181.95362178237897,-0.330308950822574,0.9604080813328764,86.07150894451782,116.25596334608665,303.57299886997924,-0.0764540870441865
Arni,Jawala,20.1470926,77.9561519,2018,ok,2.6178640971139644,36.89565778949627,-0.1259369456150042,0.4751293928872052,0.7376296602746221,-0.0221162003388391,0.3992257428030658,-923.4714403969114,0.5138792007410743,1037.3724415110566,91.95155561869582,22.706350333854235,-0.1138924747662785,2.9996685135199113,155.99779376429507,3.460904298677541,1.7033380681818184,6.5265993991573055,83.59236633991569,303.99739760992287,0.1048194223779391
