district,taluka,revenue_circle,lat,lon,match_level
Wardha,Seloo,Seloo,20.8635639,78.705685,rc
Wardha,Wardha,Wardha,20.8256231,78.6131455,rc
Chandrapur,Pombhurna,Pomburna,19.8663366,79.6906826,rc
Chandrapur,Rajura,Rajura,19.6974658,79.2951865,rc
Chandrapur,Rajura,VirurStation,19.6974658,79.2951865,rc
Chandrapur,Chimur,Bhisi,20.6322839,79.4015274,rc
Chandrapur,Chimur,Chimur,20.5142282,79.3642205,rc
Chandrapur,Chimur,Jambhulghat,20.5142282,79.3642205,rc
Chandrapur,Chimur,Khadsangi,20.5058676,79.2656171,rc
Chandrapur,Chimur,MasalBu.,20.5142282,79.3642205,rc
Chandrapur,Chimur,Neri,20.4694155,79.4457221,rc
Chandrapur,Chimur,Shankrpur,20.5142282,79.3642205,rc
Chandrapur,Gondpipri,Dhaba,19.6221044,79.6396136,rc
Chandrapur,Gondpipri,Gondpipari,19.7131212,79.6775409,rc
Chandrapur,Jiwati,Jivati,19.5860493,79.1123032,rc
Chandrapur,Jiwati,Patan,19.6283923,79.200718,rc
Chandrapur,Korpana,Gadchandur,19.7359462,79.1746044,rc
Chandrapur,Korpana,Korpna,19.7811264,79.078826,rc
Chandrapur,Mul,Bembal,19.9436803,79.6746969,rc
Chandrapur,Mul,Chikhali,20.1527833,79.6885693,rc
Chandrapur,Mul,Mul,20.0546413,79.693917,rc
Chandrapur,Sawali,Pathari,20.1981812,79.8286986,rc
Chandrapur,Sawali,Saoli,20.0825113,79.7857147,rc
Chandrapur,Sawali,Vyahadkhurd,20.1463069,79.8240393,rc
Chandrapur,Sindewahi,MohadiNale.,20.29416,79.6253395,rc
Chandrapur,Sindewahi,Navargao,20.3590832,79.598114,rc
Chandrapur,Sindewahi,Sindevahi,20.29416,79.6253395,rc
Chandrapur,Warora,Chikani,20.3501596,78.926779,rc
Chandrapur,Warora,Khambada,20.4408065,78.9855516,rc
Chandrapur,Warora,Madheli,20.4138234,79.0766857,rc
Chandrapur,Warora,Shegao,20.3295338,79.1480575,rc
Chandrapur,Warora,Temurda,20.2184887,79.0186331,rc
Chandrapur,Warora,Warora,20.2727846,78.9814105,rc
Chandrapur,Bhadravati,Bhadrawati,20.1006291,79.1254709,rc
Chandrapur,Bhadravati,Chandankheda,20.2656646,79.2204911,rc
Chandrapur,Bhadravati,Ghodpethh.,20.1673903,79.2301936,rc
Chandrapur,Bhadravati,MangaliRai.,20.1673903,79.2301936,rc
Chandrapur,Bhadravati,Muudhholi,20.1673903,79.2301936,rc
Chandrapur,Bhadravati,NandoriBu.,20.1673903,79.2301936,rc
Chandrapur,Brahmapuri,Ahernavargao,20.6575868,79.8872898,rc
Chandrapur,Brahmapuri,Bramhapuri,20.608405,79.8585801,rc
Chandrapur,Brahmapuri,Chaoughan,20.6040327,79.868277,rc
Chandrapur,Brahmapuri,Gangalwadi,20.4836844,79.9167786,rc
Chandrapur,Brahmapuri,Mendaki,20.4715194,79.8322318,rc
Chandrapur,Chandrapur,Chandrapur,20.0967555,79.5045475,rc
Chandrapur,Chandrapur,Guggus,20.0967555,79.5045475,rc
Chandrapur,Chandrapur,Padoli,20.0017743,79.2498156,rc
Chandrapur,Gondpipri,BhangaramTalodhi,19.7131212,79.6775409,rc
Chandrapur,Nagbhir,MendhaKirmiti,20.5800541,79.7001967,rc
Chandrapur,Nagbhir,Mindala,20.5375944,79.7250401,rc
Chandrapur,Nagbhir,Nagbhid,20.5800541,79.7001967,rc
Chandrapur,Nagbhir,TalodhiBa.,20.5800541,79.7001967,rc
Chandrapur,Chimur,Amboli,20.6473425,79.4886803,rc
Chandrapur,Chimur,Gondeda,20.4009904,79.4768142,rc
Chandrapur,Chimur,WadalaPaiku,20.5142282,79.3642205,rc
Chandrapur,Mul,Chiroli,19.9985052,79.6106458,rc
Chandrapur,Mul,Rajgad,20.0387923,79.7398424,rc
Chandrapur,Warora,Chinora,20.2671289,79.0115905,rc
Chandrapur,Warora,SakharaRaja.,20.2727846,78.9814105,rc
Chandrapur,Warora,ShegaonBk.,20.2184887,79.0186331,rc
Chandrapur,Ballarpur,Ballarpur,19.8568413,79.3480253,rc
Chandrapur,Ballarpur,Kothari,19.7927776,79.4932767,rc
Chandrapur,Brahmapuri,Awalgaon,20.4059982,79.9431538,rc
Chandrapur,Chandrapur,Ajaypur,20.0069032,79.4960457,rc
Chandrapur,Chandrapur,Chinchala,19.6128927,79.4077367,rc
Chandrapur,Jiwati,TekaMandwa,19.5598758,79.0990654,rc
Chandrapur,Nagbhir,Girgaon,20.3789278,79.605708,rc
Chandrapur,Pombhurna,DewadaKhurd,19.8663366,79.6906826,rc
Chandrapur,Pombhurna,NavegaonMore,19.8663366,79.6906826,rc
Chandrapur,Rajura,Dewada,19.6451743,79.3036079,rc
Chandrapur,Rajura,Gowari,19.8037417,79.2902381,rc
Chandrapur,Sawali,Antargaon,20.2036083,79.9038005,rc
Chandrapur,Sawali,Haramba,19.9855696,79.920001,rc
