FAPAR_anom,FAPAR_mean,NDVI_anom_full,NDVI_augsep,NDVI_junjul,NDVI_oct,SAR_VH_augsep_dB,SAR_VH_junjul_dB,SAR_VH_oct_dB,SM_augsep,SM_junjul,SM_oct,rain_augsep_mm,rain_junjul_mm,rain_oct_mm,district,taluka,revenue_circle,lat,lon,year
0.006034496768637689,0.3576876464379554,-0.0013181371016068718,0.7027703456122885,0.2821494050158821,0.7453287536149434,-14.277401225496755,-16.4469164041167,-14.533273290546877,0.3602066223094527,0.3172192760530692,0.3131789484833583,500.5127699752335,596.7105176686078,42.787982566676085,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2024
-0.02597552866226736,0.31540165016336014,-0.06565521954170478,0.5304237853803387,0.3331664044730857,0.514020436884003,-15.154321294422985,-16.80286616389939,-16.317194894203606,0.32770972374129065,0.3334081682339141,0.23932149104203493,381.3930029191805,677.6074273318981,6.960507845589391,Yavatmal,Arni,Arni,20.0538582,77.9942367,2018
-0.018417354306924916,0.33323579536239273,-0.05846686206038732,0.5658185464372066,0.3194588323140378,0.5743946475133931,-14.711531573563901,-16.035962107054917,-15.84610128751323,0.33584501664137684,0.33564405486525284,0.2430195191863002,392.25967534296115,664.8955591601111,8.027747986954521,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2018
0.012835106599287431,0.36448825626860504,-0.0003009981876965285,0.6460447557641558,0.3423479199260419,0.6547765182762053,-14.693604783027968,-16.846550663842336,-15.184160267663541,0.35165969384506124,0.27996072554743184,0.2922203214421854,399.94265929634105,621.7106272837789,7.107060644414456,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2023
-0.018531726059546203,0.32284545276608145,-0.05203440568861745,0.4950977065959059,0.31685937499999994,0.6782627274450339,-14.836438937849746,-17.55952388523609,-14.348123907232516,0.34682755539415483,0.2265517711018053,0.31085070519170777,548.111643187877,425.0541347669088,45.66345546937423,Yavatmal,Arni,Arni,20.0538582,77.9942367,2019
0.03854800212212239,0.39020115179143994,0.12208566405412144,0.6799475631726166,0.5915090515810936,0.7098155075143414,-14.064578758777147,-15.563287016649618,-14.59148109007117,0.35689311351533337,0.3214338292230308,0.3123507711969083,492.9697137192295,527.1173456412791,101.59412079336278,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2020
-0.038040766414209184,0.31361238325510843,-0.02834578555791414,0.6990136917460771,0.22694919523064513,0.7063422272791922,-14.910516236648334,-17.19621357799762,-14.628842236789433,0.3637107250200806,0.3236842624652732,0.34479438008016705,565.7898948653542,863.1147172872296,104.6417393992513,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2022
0.018010183389542102,0.3696633330588598,0.01774710992610637,0.6149475939885272,0.38843412269473304,0.7305436637747124,-14.216988549363974,-16.289394597897832,-14.620170865645557,0.35135972676318755,0.329577291327735,0.33422524086929345,530.9896825829876,609.846294754075,48.6846788645367,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2021
-0.0058099914252505245,0.34584315824406703,0.01402342170937306,0.5713921269299455,0.40290242260465564,0.7514643768074717,-14.81061987515354,-16.77607624398877,-14.21483878388472,0.35101891557375603,0.22997521061180198,0.3246564044725425,557.785743776711,445.5617329185466,49.67943203109588,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2019
-0.011339975181398109,0.3403131744879195,0.01864238745366949,0.4672197980372636,0.4900429372303607,0.7480338311288108,-14.311400989813198,-16.32296437516877,-14.842621407037313,0.3571070311308892,0.3234571849266156,0.3291734636270752,687.2349973355073,503.2458627451473,106.4500094931652,Yavatmal,Arni,Anjankhed,19.9550563,77.9935741,2025
