taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,tmax_K_mean,tmax_anom_K,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm,district,SAR_VV_mean_dB,SPI30_min,sm_anom,sm_mean,tmax_anom_C,tmax_mean_C
Achalpur,Achalpur,21.2407925,77.427797,2018,,1.2905239034085232,35.76500780368563,-0.144341514144833,0.4642685146880613,,,,,0.4952521098564276,852.0306569719085,97.60332831891688,26.517581797668296,-0.0507610662258706,1.0338943211733735,221.67609322685271,1.7328093256325094,-0.0180305942083489,12.344235965758614,82.25676946220382,,,,,,,,,,,,,,,,,,Amravati,-8.101098351698274,-931.648203360804,-0.022140189558163,0.3768400834304814,-0.014807071071064,303.28308125297383
Achalpur,Achalpur,21.2407925,77.427797,2019,,2.050204430235651,36.52468833051276,-0.1171092959968241,0.4915007328360704,,,,,0.5298381330566361,968.7639412911002,87.76918014291086,32.09364422715306,0.5009293678736264,0.1402783001128243,105.31890399650538,-2.483298091740427,-0.1206819292967281,47.600943805042526,113.02726588943209,,,,,,,,,,,,,,,,,,Amravati,-7.90381404661794,-919.9928717855576,0.0045459052881933,0.4035261782768378,0.0280507049835812,303.32593902902875
Achalpur,Achalpur,21.2407925,77.427797,2020,,0.3118107054556672,34.78629460573274,0.0379158633153649,0.6465258921482596,,,,,0.5905645162670882,1129.3109716939944,61.27971041745013,16.695186160210593,-0.2935109834841062,0.529240315908236,231.6778011802531,0.2512025812423872,0.0729069692553591,84.74641519889221,117.66039864610748,,,,,,,,,,,,,,,,,,Amravati,-7.37940297010834,-903.9606102754076,0.0237095422574396,0.422689815246084,-0.0252341660993409,303.27265415794585
Achalpur,Achalpur,21.2407925,77.427797,2021,,0.6506061271529802,35.12509002743009,-0.0567708202749571,0.5518392085579373,,,,,0.5374807534137874,1029.824101890397,81.60234110567882,34.92511282437005,-0.2980457889264026,0.1063839789394509,213.48205552248177,-3.2175343494769093,0.061752500940203,82.70333926343253,99.6685784129372,,,,,,,,,,,,,,,,,,Amravati,-7.634480467297525,-913.8867421660252,0.0047077001304971,0.4036879731191415,-0.3205280279995823,302.97736029604516
Achalpur,Achalpur,21.2407925,77.427797,2022,,0.1544620425227625,34.628945942799845,-0.0944242332121515,0.514185795620743,,,,,0.5023902251625231,1365.8256750422956,70.32578036855956,21.43752350507709,0.0984206577798368,1.184420834900338,197.93634614442556,0.916188650566694,-0.0168102435125987,98.8435877486699,110.9059326814592,,,,,,,,,,,,,,,,,,Amravati,-8.102038155889472,-880.3334768553652,0.0085004131616433,0.4074806861502873,-0.1469976718115163,303.1508906522335
Achalpur,Achalpur,21.2407925,77.427797,2023,,0.3283920881232899,34.80287598840038,-0.0836266631147883,0.5249833657181063,,,,,0.5129623468608997,1049.6274692622862,100.29028770214364,35.819528018051884,0.2231506035418348,0.3609909740503947,96.94303264762276,0.4548712693456845,-0.114489013726965,11.503601176548644,82.67934373824744,,,,,,,,,,,,,,,,,,Amravati,-8.164044890411327,-911.894697919546,-0.0319733713608899,0.3670069016277543,0.8865598224748189,304.18444814651974
Achalpur,Achalpur,21.2407925,77.427797,2024,,-0.5806581721420176,33.893825728135084,-0.0896631100873344,0.5189469187455599,,,,,0.4885947716739464,945.2558045295052,72.28934749905977,23.579259119969908,5.5770755785046285e-05,0.0,178.4040132733962,-2.232111854008959,0.0520180119405791,59.30721092403727,109.30415569763066,,,,,,,,,,,,,,,,,,Amravati,-7.503292875658917,-922.330004556296,0.0122314789404942,0.4112117519291387,-0.1114979189258577,303.1863904051189
Achalpur,Achalpur,21.2407925,77.427797,2025,,-4.188903785646915,30.285580114630154,-0.0288396457523714,0.5797703830805233,,,,,0.4469289681030897,1017.8763570359858,89.66585182399396,28.463614140654375,-0.1360201582019581,0.5565532154945467,172.17428769799133,-3.3018925647296262,-0.121166878995863,62.70568112671987,106.02877021436628,,,,,29587847.84,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.536931675087188,-915.0933729239404,0.0100805094472339,0.409060782435878,-0.8172662695632046,302.4806220544814
Achalpur,Asadpur,21.0869427,77.4808216,2018,,1.311750819479902,37.2826598710275,-0.1164647565930876,0.4413350857375942,,,,,0.479629358919403,776.5097410799885,98.40659857862288,26.24657598719819,-0.0456865037066277,1.0,218.97429418135184,0.9459367716083928,0.017984484868452,9.923580895986436,77.22068997976184,,,,,,,,,,,,,,,,,,Amravati,-8.74229101147349,-919.4202949781376,-0.0220846648720563,0.4043801939708473,0.0040808861051127,303.3614660919428
Achalpur,Asadpur,21.0869427,77.4808216,2019,,2.7752920879597265,38.74620113950732,-0.1418397397279615,0.4159601026027203,,,,,0.4906219636876771,815.376412614204,88.84840212735918,34.1091918859133,0.5033395275858616,0.0,107.0459655964812,-0.9967339052728998,-0.0266577399162234,44.19039957837653,112.88092436579282,,,,,,,,,,,,,,,,,,Amravati,-8.442449398960994,-915.0028219871272,0.0025577326510052,0.4290225914939084,0.084276307520443,303.4416615133583
