taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,tmax_K_mean,tmax_anom_K,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm
Arni,Anjankhed,19.9550563,77.9935741,2018,ok,1.0016845022348535,35.22950205223912,-0.1331110085854993,0.4968889613125808,0.755545599668168,-0.0253421016766392,0.3881019808861372,-923.7061905056052,0.5700073484817605,1065.182982490027,91.51775470535252,22.019532546342397,-0.1141149461281104,2.193286872422131,151.49765262236178,1.93120493489434,1.6788694003318314,8.027747986954521,80.54620016119094,303.96841737472664,0.1624279619442176,2012.0,3459.13,127322890.5,48.0,48.0,0.0,0.0,0.0,0.0,0.03769942687564103,0.03769942687564103,0.0,0.0,0.0,0.0
Arni,Anjankhed,19.9550563,77.9935741,2019,ok,3.740960026404633,37.96877757640889,-0.0759363926944246,0.5540635772036554,0.791453402465038,6.526349329397911e-05,0.4135093460560713,-924.5209835888368,0.5485115943813106,1056.0131392036126,86.30896505949843,21.221779737353636,0.5884405977274179,1.4126013369364243,50.25001809838497,-0.516544539198653,1.7184877933159508,49.67943203109588,105.55070402503202,304.3827355940164,0.5767461812334622,,,,,,,,,,,,,,,
Arni,Anjankhed,19.9550563,77.9935741,2020,ok,-0.6948179612934946,33.53299958871076,0.0309111605699086,0.6609111304679883,0.837034205972979,0.023238539885663,0.4366826224484397,-917.065805919515,0.7229608240128994,1140.5452327428743,68.57260702602763,18.902811359218703,-0.2579800762848063,0.0,159.0683268222149,-1.0726096481426866,0.4105475231097415,101.59412079336278,110.00512018205094,303.74647148087263,-0.0595179319096091,,,,,,,,,,,,,,,
Arni,Anjankhed,19.9550563,77.9935741,2021,ok,0.1637015934865482,34.39151914349082,-0.0605406222380237,0.5694593476600565,0.7940028656079638,0.0037712172694517,0.4172152998322291,-912.7490911714656,0.6418537722305746,1189.520656201599,82.89868676812213,25.145735552078893,-0.3048664837799575,0.7664628075664913,162.27399170461445,-0.7168464738088071,0.7462905901872479,48.6846788645367,96.35011615227803,303.2842672777005,-0.5217221350815736,1802.0,3025.29,101470552.6,98.0,23.0,64.0,0.0,11.0,0.0,0.0965797440626139,0.022666674626939994,0.06307248591844172,0.0,0.010840583517232171,0.0
Arni,Anjankhed,19.9550563,77.9935741,2022,ok,-0.2091307649502767,34.01868678505399,-0.1060498473045218,0.5239501225935581,0.7868968298174926,0.0169678948030745,0.4304119773658518,-882.4051756333566,0.615762655055444,1533.9468522457248,70.65125871142088,18.025079410230887,0.0679778962344641,4.4551272934148765,62.92010726394296,0.2158452895143569,2.535340127992414,104.6417393992513,111.90356990470772,303.52516283552995,-0.2808265772523015,,,,,,,,,,,,,,,
Arni,Anjankhed,19.9550563,77.9935741,2023,ok,-0.4393842081468289,33.788433341857434,-0.0977539383213503,0.5322460315767295,0.7637883669115906,-0.0342118614183381,0.3792322211444394,-926.9015248201245,0.6278049401380944,1028.7603472245346,101.88470108566824,29.99862513630115,0.2959203476176222,1.2206893282131512,4.946498920154205,-1.076594824899591,1.6573003081298878,7.107060644414456,76.81202294600106,304.57934592758056,0.7733565147983379,4346.0,7705.5,339046752.54,280.0,0.0,271.0,0.0,9.0,0.0,0.08258448072496025,0.0,0.07992997955880081,0.0,0.0026545011661594366,0.0
Arni,Anjankhed,19.9550563,77.9935741,2024,ok,-0.4943636527133878,33.73345389729086,-0.0865330432961996,0.5434669266018805,0.8020798957098831,0.0154566302276977,0.4289007127904752,-915.7577144503988,0.6357173538984476,1155.444255401192,72.7886028540274,14.60911202768691,-0.0080595039548197,0.0,83.3023416060436,-1.3284957240920534,2.0378762739985774,42.787982566676085,110.9982458635566,303.6876713239699,-0.1183180888120002,3994.0,7066.33,314720939.25,182.0,0.0,179.0,0.0,3.0,0.0,0.05782900890983535,0.0,0.05687578348824466,0.0,0.0009532254215906926,0.0
Arni,Anjankhed,19.9550563,77.9935741,2025,ok,-4.278223152855992,29.949594397148275,-0.0580740714492639,0.5719258984488159,0.7842441526428054,0.0118220657450619,0.4252661483078396,-903.316448655098,0.7389212734076661,1296.9308695738198,77.55677238894422,17.750912625041487,-0.2552400047947195,2.009387000426682,55.1085337875648,-2.623931808733089,0.6821995733586158,106.4500094931652,106.54733797942448,303.00986399919964,-0.7961254135828771,2447.0,3927.7,224960927.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arni,Arni,20.0538582,77.9942367,2018,ok,1.8184719454339409,37.04533535793878,-0.1474845479078325,0.4620904610743926,0.7135766280529702,-0.0220123335853756,0.398068635133841,-932.2835530270734,0.5162987723457884,1065.960938096668,91.53042077331314,23.079747915087193,-0.1289243525806147,3.0,155.64744136984646,2.8551101247370845,1.4880960841446955,6.960507845589391,84.29596285064441,303.9336182518497,0.1051186765209738,2922.0,4897.17,187676249.36,30.0,29.0,1.0,0.0,0.0,0.0,0.01598497417883394,0.015452141706206141,0.000532832472627798,0.0,0.0,0.0
Arni,Arni,20.0538582,77.9942367,2019,ok,4.031932630960824,39.25879604346565,-0.1153147114698737,0.4942602975123519,0.7669274796863532,2.608624989990617e-05,0.4201070549691165,-935.6210674320766,0.4884979197680661,1028.120384386635,85.40821645185746,20.6361353297953,0.5933367043190313,1.450672858225929,50.02802750298443,-0.135072373619801,2.047260322649422,45.66345546937423,106.54932714177411,304.38865117824884,0.560151602920002,,,,,,,,,,,,,,,
