version,fire_rate_22yr,precision,recall,f1,basis_risk,n_pmfby_obs,apy_trigger_corr
v5,0.47407285854939285,0.43031123139377536,0.726027397260274,0.54035683942226,0.10723860589812333,1119.0,-0.046802697846226426
v6,0.5313423039054808,0.4298941798941799,0.7420091324200914,0.5443886097152429,0.10098302055406613,1119.0,-0.17221100688054816
v7_v8_CHF,0.4602888086642599,0.45,0.3493150684931507,0.39331619537275064,0.2546916890080429,1119.0,-0.1422478451374589
v9,0.3916967509025271,0.6229508196721312,0.6073059360730594,0.6150289017341041,0.15370866845397677,1119.0,-0.1950044097392233
